task_id,phase,agent_name,depends_on,owned_paths,task_prompt,acceptance
bootstrap,1,bootstrap,,package.json;tsconfig.json;src/config/**;src/logger/**;src/cli/**,"Set up app bootstrap, config parsing, env validation, logger, and CLI wrappers for start, stop, status, logs, and doctor. Do not implement business logic outside these paths.","Service boots with validated config and command skeleton; config and logger behavior are testable."
storage,1,storage,bootstrap,src/store/**;migrations/**,"Implement SQLite schema, migrations, repositories, and transactional boundaries for sessions, bindings, approvals, offsets, audits, and summaries.","Migrations run cleanly; repositories and cleanup behavior are covered by tests."
routing,1,routing,bootstrap,src/core/types/**;src/core/router/**;src/core/session/**,"Implement the chat gate, session actor model, run ownership, state machine, and command rejection rules for active sessions.","Chat-level binding changes and session-level event routing are serialized correctly and covered by tests."
workspace,1,workspace,bootstrap,src/core/workspace/**;src/core/commands/cwd*;src/core/commands/adddir*,"Implement workspace_root, extra_allowed_dirs, cwd validation, /new inheritance behavior, /cwd rules, /adddir confirmation hooks, and runtime context reconstruction contracts.","Directory boundary rules are deterministic, symlink-safe, and covered by tests."
telegram,2,telegram,routing;workspace;storage,src/transport/telegram/**,"Implement Telegram polling, allowlist and private-chat checks, send, edit, answer callback behavior, preview flow, media download, offset handling, and replay protection.","Telegram transport supports text, photo, image-document, preview edit flow, callback acknowledgements, and offset persistence."
codex_runtime,2,codex,routing;workspace,src/runtime/codex/**,"Implement Codex runtime integration using local login state, mode-to-sandbox and approval mapping, streamed event normalization, soft-cancel hooks, and stale-thread recovery.","Codex runs respect mode and workspace settings; streaming, cancellation, and resume-recovery are testable."
approval,2,approval,storage;routing;telegram;codex_runtime,src/core/approval/**,"Implement pending permission lifecycle, short token mapping, expiry, invalidation rules, callback validation, and /perm fallback.","Approval decisions are routed by session_id plus run_id and stale callbacks are rejected safely."
commands,2,commands,routing;workspace;approval;storage,src/core/commands/**,"Implement /start, /help, /status, /new, /sessions, /bind, /cwd, /adddir, /mode, /stop, and /perm using the locked V1 semantics.","All command flows match the plan and reject invalid actions during active runs."
summary_audit,2,summary,storage;routing;codex_runtime;approval,src/core/summary/**;src/core/audit/**,"Implement deterministic rolling summaries, audit taxonomy, recovery seeding, and cancel or boundary change audit coverage.","Rolling summaries are local-only and usable for stale-thread recovery; audit events are structured and complete."
deployment,2,deployment,bootstrap,.env.example;README.md;docs/deploy/**,"Define direct Linux server deployment for the bridge, including runtime paths, app-home layout, environment template, and a server runbook with optional systemd integration.","The service can be deployed directly to a Linux server with documented absolute Linux paths and operational commands."
diagnostics,3,doctor,storage;telegram;codex_runtime;workspace;summary_audit,src/ops/**;src/doctor/**,"Implement doctor checks for config, DB, offsets, approvals, actor health, workspace-boundary consistency, and Codex and Telegram runtime health.","Doctor reports failures for bad config or state and warnings for suspicious offset jumps."
tests,3,tests,telegram;codex_runtime;approval;commands;summary_audit;diagnostics,tests/**,"Add unit and integration coverage for routing, state machine, workspace boundaries, approval invalidation, preview chunking, cancel flow, recovery flow, offset diagnostics, and command behavior.","Critical flows are covered with deterministic tests and a manual acceptance checklist."
